"variable" "activity_name" "subject_id" "mean(value)"
"fBodyAcc-X" "LAYING" 1 -0.9390990524
"fBodyAcc-X" "LAYING" 2 -0.976725059791667
"fBodyAcc-X" "LAYING" 3 -0.980665609032258
"fBodyAcc-X" "LAYING" 4 -0.958802077592593
"fBodyAcc-X" "LAYING" 5 -0.968741678461538
"fBodyAcc-X" "LAYING" 6 -0.939114254210526
"fBodyAcc-X" "LAYING" 7 -0.953424245576923
"fBodyAcc-X" "LAYING" 8 -0.953538563888889
"fBodyAcc-X" "LAYING" 9 -0.946865494
"fBodyAcc-X" "LAYING" 10 -0.96918420862069
"fBodyAcc-X" "LAYING" 11 -0.983801365614035
"fBodyAcc-X" "LAYING" 12 -0.956248487666667
"fBodyAcc-X" "LAYING" 13 -0.974716920483871
"fBodyAcc-X" "LAYING" 14 -0.933936178235294
"fBodyAcc-X" "LAYING" 15 -0.974016176527778
"fBodyAcc-X" "LAYING" 16 -0.980213187428571
"fBodyAcc-X" "LAYING" 17 -0.974359280140845
"fBodyAcc-X" "LAYING" 18 -0.985179972153846
"fBodyAcc-X" "LAYING" 19 -0.97453373
"fBodyAcc-X" "LAYING" 20 -0.965728781617647
"fBodyAcc-X" "LAYING" 21 -0.968234375555556
"fBodyAcc-X" "LAYING" 22 -0.953758542777778
"fBodyAcc-X" "LAYING" 23 -0.970037238333333
"fBodyAcc-X" "LAYING" 24 -0.975893687083333
"fBodyAcc-X" "LAYING" 25 -0.929147371232877
"fBodyAcc-X" "LAYING" 26 -0.973262289210526
"fBodyAcc-X" "LAYING" 27 -0.980631846891892
"fBodyAcc-X" "LAYING" 28 -0.9739308675
"fBodyAcc-X" "LAYING" 29 -0.986626999275362
"fBodyAcc-X" "LAYING" 30 -0.974789999285714
"fBodyAcc-X" "SITTING" 1 -0.979641238723404
"fBodyAcc-X" "SITTING" 2 -0.985803840652174
"fBodyAcc-X" "SITTING" 3 -0.970154440961538
"fBodyAcc-X" "SITTING" 4 -0.9774624984
"fBodyAcc-X" "SITTING" 5 -0.977450812045455
"fBodyAcc-X" "SITTING" 6 -0.975351454727273
"fBodyAcc-X" "SITTING" 7 -0.972697126875
"fBodyAcc-X" "SITTING" 8 -0.981142909782609
"fBodyAcc-X" "SITTING" 9 -0.959413594
"fBodyAcc-X" "SITTING" 10 -0.984943144259259
"fBodyAcc-X" "SITTING" 11 -0.981481454339623
"fBodyAcc-X" "SITTING" 12 -0.97966614372549
"fBodyAcc-X" "SITTING" 13 -0.990135477755102
"fBodyAcc-X" "SITTING" 14 -0.976456609259259
"fBodyAcc-X" "SITTING" 15 -0.986619609491525
"fBodyAcc-X" "SITTING" 16 -0.987043828985507
"fBodyAcc-X" "SITTING" 17 -0.9939693815625
"fBodyAcc-X" "SITTING" 18 -0.993144920175439
"fBodyAcc-X" "SITTING" 19 -0.979238031780822
"fBodyAcc-X" "SITTING" 20 -0.981203064242424
"fBodyAcc-X" "SITTING" 21 -0.990610228
"fBodyAcc-X" "SITTING" 22 -0.978505368225806
"fBodyAcc-X" "SITTING" 23 -0.986325670882353
"fBodyAcc-X" "SITTING" 24 -0.989529506764706
"fBodyAcc-X" "SITTING" 25 -0.991405498153846
"fBodyAcc-X" "SITTING" 26 -0.982579546025641
"fBodyAcc-X" "SITTING" 27 -0.988682108428571
"fBodyAcc-X" "SITTING" 28 -0.979820142638889
"fBodyAcc-X" "SITTING" 29 -0.991093963666667
"fBodyAcc-X" "SITTING" 30 -0.985008785
"fBodyAcc-X" "STANDING" 1 -0.995249932641509
"fBodyAcc-X" "STANDING" 2 -0.983946739814815
"fBodyAcc-X" "STANDING" 3 -0.960123409508197
"fBodyAcc-X" "STANDING" 4 -0.973497549642857
"fBodyAcc-X" "STANDING" 5 -0.964500917321429
"fBodyAcc-X" "STANDING" 6 -0.977100287368421
"fBodyAcc-X" "STANDING" 7 -0.976681834339623
"fBodyAcc-X" "STANDING" 8 -0.988219862222222
"fBodyAcc-X" "STANDING" 9 -0.971662692
"fBodyAcc-X" "STANDING" 10 -0.970099814318182
"fBodyAcc-X" "STANDING" 11 -0.993808050638298
"fBodyAcc-X" "STANDING" 12 -0.976469472295082
"fBodyAcc-X" "STANDING" 13 -0.989425965614035
"fBodyAcc-X" "STANDING" 14 -0.9726995625
"fBodyAcc-X" "STANDING" 15 -0.986724998867925
"fBodyAcc-X" "STANDING" 16 -0.989427670897436
"fBodyAcc-X" "STANDING" 17 -0.990927533846154
"fBodyAcc-X" "STANDING" 18 -0.990409919315068
"fBodyAcc-X" "STANDING" 19 -0.987352048356164
"fBodyAcc-X" "STANDING" 20 -0.96193272890411
"fBodyAcc-X" "STANDING" 21 -0.978327686179775
"fBodyAcc-X" "STANDING" 22 -0.980373909206349
"fBodyAcc-X" "STANDING" 23 -0.983627197058824
"fBodyAcc-X" "STANDING" 24 -0.984183633623188
"fBodyAcc-X" "STANDING" 25 -0.990093202837838
"fBodyAcc-X" "STANDING" 26 -0.991993372297297
"fBodyAcc-X" "STANDING" 27 -0.99012181225
"fBodyAcc-X" "STANDING" 28 -0.97251980164557
"fBodyAcc-X" "STANDING" 29 -0.995024039692308
"fBodyAcc-X" "STANDING" 30 -0.972014050847458
"fBodyAcc-X" "WALKING" 1 -0.202794306326316
"fBodyAcc-X" "WALKING" 2 -0.346048161016949
"fBodyAcc-X" "WALKING" 3 -0.316614011689655
"fBodyAcc-X" "WALKING" 4 -0.426719449666667
"fBodyAcc-X" "WALKING" 5 -0.287782607410714
"fBodyAcc-X" "WALKING" 6 -0.187934323140351
"fBodyAcc-X" "WALKING" 7 -0.343048405789474
"fBodyAcc-X" "WALKING" 8 -0.247389011875
"fBodyAcc-X" "WALKING" 9 -0.294711163653846
"fBodyAcc-X" "WALKING" 10 -0.114190001283019
"fBodyAcc-X" "WALKING" 11 -0.396533731864407
"fBodyAcc-X" "WALKING" 12 -0.05435763951
"fBodyAcc-X" "WALKING" 13 -0.335030121052632
"fBodyAcc-X" "WALKING" 14 -0.421498172542373
"fBodyAcc-X" "WALKING" 15 -0.31744092037037
"fBodyAcc-X" "WALKING" 16 -0.394790433529412
"fBodyAcc-X" "WALKING" 17 -0.360991674918033
"fBodyAcc-X" "WALKING" 18 -0.37147515625
"fBodyAcc-X" "WALKING" 19 -0.0299815666923077
"fBodyAcc-X" "WALKING" 20 -0.147404272166667
"fBodyAcc-X" "WALKING" 21 -0.273496158519231
"fBodyAcc-X" "WALKING" 22 -0.0994928588891304
"fBodyAcc-X" "WALKING" 23 -0.275404187920339
"fBodyAcc-X" "WALKING" 24 -0.492419802586207
"fBodyAcc-X" "WALKING" 25 -0.609038908918919
"fBodyAcc-X" "WALKING" 26 -0.321959549661017
"fBodyAcc-X" "WALKING" 27 -0.308702374385965
"fBodyAcc-X" "WALKING" 28 -0.280062182962963
"fBodyAcc-X" "WALKING" 29 -0.135819505761321
"fBodyAcc-X" "WALKING" 30 -0.351402910907692
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 1 0.0382291831510204
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 2 0.112841160325532
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 3 -0.0421706943244898
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 4 -0.0722392276888889
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 5 0.0984320090212766
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 6 0.328308506041667
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 7 0.0443428315319149
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 8 0.136590199860526
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 9 0.103128506197619
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 10 0.215665273157895
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 11 0.0351937228130435
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 12 0.0235049348717391
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 13 -0.0726602663212766
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 14 0.0212541553977778
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 15 0.235309825547619
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 16 0.0368263528276596
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 17 -0.0226239171245652
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 18 -0.350086793272727
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 19 0.537012022051282
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 20 -0.0343309987555556
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 21 0.104323529982222
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 22 0.195348406222222
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 23 0.205428216353704
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 24 -0.222324293454545
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 25 -0.372245192931034
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 26 0.022800096142
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 27 0.0829831545090909
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 28 0.0890721752173913
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 29 0.110663200244167
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 30 -0.106966957087097
"fBodyAcc-X" "WALKING_UPSTAIRS" 1 -0.404321784150943
"fBodyAcc-X" "WALKING_UPSTAIRS" 2 -0.266720933270833
"fBodyAcc-X" "WALKING_UPSTAIRS" 3 -0.392004211474576
"fBodyAcc-X" "WALKING_UPSTAIRS" 4 -0.294488270365385
"fBodyAcc-X" "WALKING_UPSTAIRS" 5 -0.161485339978723
"fBodyAcc-X" "WALKING_UPSTAIRS" 6 -0.131075372803922
"fBodyAcc-X" "WALKING_UPSTAIRS" 7 -0.336199426470588
"fBodyAcc-X" "WALKING_UPSTAIRS" 8 -0.166411065387805
"fBodyAcc-X" "WALKING_UPSTAIRS" 9 -0.342735952653061
"fBodyAcc-X" "WALKING_UPSTAIRS" 10 -0.139410790617021
"fBodyAcc-X" "WALKING_UPSTAIRS" 11 -0.355348902222222
"fBodyAcc-X" "WALKING_UPSTAIRS" 12 -0.321447925192308
"fBodyAcc-X" "WALKING_UPSTAIRS" 13 -0.382460736363636
"fBodyAcc-X" "WALKING_UPSTAIRS" 14 -0.323508442240741
"fBodyAcc-X" "WALKING_UPSTAIRS" 15 -0.0746328434375
"fBodyAcc-X" "WALKING_UPSTAIRS" 16 -0.474984014705882
"fBodyAcc-X" "WALKING_UPSTAIRS" 17 -0.1397522212625
"fBodyAcc-X" "WALKING_UPSTAIRS" 18 -0.465097261896552
"fBodyAcc-X" "WALKING_UPSTAIRS" 19 -0.15687949467775
"fBodyAcc-X" "WALKING_UPSTAIRS" 20 -0.140439074776471
"fBodyAcc-X" "WALKING_UPSTAIRS" 21 -0.319169340234043
"fBodyAcc-X" "WALKING_UPSTAIRS" 22 -0.0553996485285714
"fBodyAcc-X" "WALKING_UPSTAIRS" 23 -0.272605689568627
"fBodyAcc-X" "WALKING_UPSTAIRS" 24 -0.395790553898305
"fBodyAcc-X" "WALKING_UPSTAIRS" 25 -0.521649838769231
"fBodyAcc-X" "WALKING_UPSTAIRS" 26 -0.242820756127273
"fBodyAcc-X" "WALKING_UPSTAIRS" 27 -0.417607401176471
"fBodyAcc-X" "WALKING_UPSTAIRS" 28 -0.266101343372549
"fBodyAcc-X" "WALKING_UPSTAIRS" 29 -0.109793480008163
"fBodyAcc-X" "WALKING_UPSTAIRS" 30 -0.420402828153846
"fBodyAcc-Y" "LAYING" 1 -0.86706520518
"fBodyAcc-Y" "LAYING" 2 -0.979800877916667
"fBodyAcc-Y" "LAYING" 3 -0.961169982903226
"fBodyAcc-Y" "LAYING" 4 -0.938883374444444
"fBodyAcc-Y" "LAYING" 5 -0.965419520961538
"fBodyAcc-Y" "LAYING" 6 -0.923706791403509
"fBodyAcc-Y" "LAYING" 7 -0.942193953846154
"fBodyAcc-Y" "LAYING" 8 -0.951816663703704
"fBodyAcc-Y" "LAYING" 9 -0.9343665984
"fBodyAcc-Y" "LAYING" 10 -0.954341849137931
"fBodyAcc-Y" "LAYING" 11 -0.971403935438596
"fBodyAcc-Y" "LAYING" 12 -0.951265971
"fBodyAcc-Y" "LAYING" 13 -0.965843757258064
"fBodyAcc-Y" "LAYING" 14 -0.930366906078431
"fBodyAcc-Y" "LAYING" 15 -0.962461124305556
"fBodyAcc-Y" "LAYING" 16 -0.963635575142857
"fBodyAcc-Y" "LAYING" 17 -0.954648102253521
"fBodyAcc-Y" "LAYING" 18 -0.984909884615385
"fBodyAcc-Y" "LAYING" 19 -0.972798824096386
"fBodyAcc-Y" "LAYING" 20 -0.965595958382353
"fBodyAcc-Y" "LAYING" 21 -0.960069247
"fBodyAcc-Y" "LAYING" 22 -0.925524703472222
"fBodyAcc-Y" "LAYING" 23 -0.982072295833333
"fBodyAcc-Y" "LAYING" 24 -0.980830362083333
"fBodyAcc-Y" "LAYING" 25 -0.78494581909589
"fBodyAcc-Y" "LAYING" 26 -0.983664034342105
"fBodyAcc-Y" "LAYING" 27 -0.982915951891892
"fBodyAcc-Y" "LAYING" 28 -0.958436369
"fBodyAcc-Y" "LAYING" 29 -0.989034304057971
"fBodyAcc-Y" "LAYING" 30 -0.959974274571429
"fBodyAcc-Y" "SITTING" 1 -0.944084550425532
"fBodyAcc-Y" "SITTING" 2 -0.957343498478261
"fBodyAcc-Y" "SITTING" 3 -0.891907751346154
"fBodyAcc-Y" "SITTING" 4 -0.9057829318
"fBodyAcc-Y" "SITTING" 5 -0.921434735681818
"fBodyAcc-Y" "SITTING" 6 -0.928264365454545
"fBodyAcc-Y" "SITTING" 7 -0.93149063375
"fBodyAcc-Y" "SITTING" 8 -0.94421971826087
"fBodyAcc-Y" "SITTING" 9 -0.911683219
"fBodyAcc-Y" "SITTING" 10 -0.9404502
"fBodyAcc-Y" "SITTING" 11 -0.934503182830189
"fBodyAcc-Y" "SITTING" 12 -0.942768016862745
"fBodyAcc-Y" "SITTING" 13 -0.959673916122449
"fBodyAcc-Y" "SITTING" 14 -0.932644766111111
"fBodyAcc-Y" "SITTING" 15 -0.938926430779661
"fBodyAcc-Y" "SITTING" 16 -0.961456685507246
"fBodyAcc-Y" "SITTING" 17 -0.96992798921875
"fBodyAcc-Y" "SITTING" 18 -0.976538530350877
"fBodyAcc-Y" "SITTING" 19 -0.960763181917808
"fBodyAcc-Y" "SITTING" 20 -0.945198619242424
"fBodyAcc-Y" "SITTING" 21 -0.968060947058824
"fBodyAcc-Y" "SITTING" 22 -0.939546007903226
"fBodyAcc-Y" "SITTING" 23 -0.953460406470588
"fBodyAcc-Y" "SITTING" 24 -0.962773200147059
"fBodyAcc-Y" "SITTING" 25 -0.959117259384615
"fBodyAcc-Y" "SITTING" 26 -0.954299410641026
"fBodyAcc-Y" "SITTING" 27 -0.974057855571429
